YEAR,CALC,MEAN,INDEX,STATION_NAME,STATION_ID
2023,0.25,23.0,SD,LUZERN,1655
2023,3.53,-999999.0,SD,ELM,10984
2023,0.0,7.0,SD,GENEVE COINTRIN,240
2023,2.58,308.0,SD,CHATEAU-D'OEX,1645
2023,7.23,1864.0,SD,S. BERNARDINO,1659
2023,0.06,13.0,SD,BASEL BINNINGEN,239
2023,0.51,35.0,SD,SION 2,1662
2023,-9999.99,-999999.0,SD,PAYERNE,2180
2023,2.32,615.0,SD,GRACHEN,1650
2023,2.53,333.0,SD,LA CHAUX-DE-FONDS,1653
2023,165.91,19496.0,SD,SAENTIS,243
2023,0.0,10.0,SD,LOCARNO-MONTI,1438
2023,0.03,10.0,SD,NEUCHATEL,1656
2023,56.92,7767.0,SD,GRIMSEL HOSPIZ,1651
2023,0.99,168.0,SD,ST. GALLEN (ANETZ-STATIONS),1663
2023,8.02,1460.0,SD,SAMEDAN,1658
2023,0.0,7.0,SD,GENEVE OBSERVATOIRE,241
2023,0.32,39.0,SD,BERN/ZOLLIKOFEN,1644
2023,0.04,14.0,SD,ALTDORF,1641
2023,0.45,37.0,SD,ZUERICH/FLUNTERN,244
2023,2.2,684.0,SD,ENGELBERG,1648
2023,0.79,-999999.0,SD,MEIRINGEN,10986
2023,8.02,1460.0,SD,SAMEDAN 1,1657
2023,10.21,2152.0,SD,ANDERMATT,1642
2023,12.08,2120.0,SD,DAVOS,1647
2023,0.0,8.0,SD,LUGANO,242
2023,7.88,2090.0,SD,SEGL-MARIA,1660
2023,2.14,-999999.0,SD,CHAUMONT,10983
2023,46.0,3982.0,R10MM,ALTDORF,1641
2023,42.0,3383.0,R10MM,ZUERICH/FLUNTERN,244
2023,67.0,5692.0,R10MM,ENGELBERG,1648
2023,53.0,5297.0,R10MM,ST. GALLEN (ANETZ-STATIONS),1663
2023,77.0,6401.0,R10MM,GRIMSEL HOSPIZ,1651
2023,35.0,2789.0,R10MM,GENEVE OBSERVATOIRE,241
2023,41.0,3676.0,R10MM,BERN/ZOLLIKOFEN,1644
2023,25.0,2221.0,R10MM,SAMEDAN,1658
2023,40.0,3429.0,R10MM,DAVOS,1647
2023,39.0,4299.0,R10MM,LUGANO,242
2023,54.0,4659.0,R10MM,MEIRINGEN,1435
2023,34.0,-999999.0,R10MM,CHAUMONT,10983
2023,32.0,3136.0,R10MM,SEGL-MARIA,1660
2023,25.0,2221.0,R10MM,SAMEDAN 1,1657
2023,54.0,4659.0,R10MM,MEIRINGEN,10986
2023,37.0,3473.0,R10MM,ANDERMATT,1642
2023,49.0,5297.0,R10MM,S. BERNARDINO,1659
2023,35.0,2789.0,R10MM,GENEVE COINTRIN,240
2023,61.0,4968.0,R10MM,CHATEAU-D'OEX,1645
2023,25.0,1612.0,R10MM,GRACHEN,1650
2023,29.0,1867.0,R10MM,SION 2,1662
2023,20.0,2404.0,R10MM,BASEL BINNINGEN,239
